/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:143: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/Users/pierredemetz/miniconda3/envs/pierre/lib/python3.8/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
epoch done with 0.518
epoch done with 0.412
epoch done with 0.353
epoch done with 0.304
epoch done with 0.288
epoch done with 0.250
epoch done with 0.149
epoch done with 0.136
epoch done with 0.133
epoch done with 0.132
epoch done with 0.130
epoch done with 0.130
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.129
epoch done with 0.128
epoch done with 0.128
epoch done with 0.128
epoch done with 0.127
epoch done with 0.127
epoch done with 0.127
epoch done with 0.127
epoch done with 0.127
epoch done with 0.127
epoch done with 0.126
epoch done with 0.126
epoch done with 0.126
epoch done with 0.125
epoch done with 0.125
epoch done with 0.125
epoch done with 0.125
epoch done with 0.125
epoch done with 0.124
epoch done with 0.124
epoch done with 0.124
epoch done with 0.124
epoch done with 0.124
epoch done with 0.123
epoch done with 0.123
epoch done with 0.123
epoch done with 0.123
epoch done with 0.123
epoch done with 0.122
epoch done with 0.122
epoch done with 0.122
epoch done with 0.122
epoch done with 0.122
epoch done with 0.121
epoch done with 0.121
epoch done with 0.121
epoch done with 0.121
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.119
epoch done with 0.120
epoch done with 0.119
epoch done with 0.119
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.119
epoch done with 0.120
epoch done with 0.120
epoch done with 0.120
epoch done with 0.119
epoch done with 0.119
epoch done with 0.120
epoch done with 0.119
Grid search using {'num_samples': 128, 'learning_rate': 0.001, 'l1_regularization_factor': 0.01, 'l2_regularization_factor': 0.01, 'number_additive_traits': 1, 'model_type': 'tri_state_non_equilibrium_implicit'}
